initial,solution,fitness,duration
71241130183241727445711393935581633462634303736214541965981545562143525149315038422520402428221023552953514847,52214413324212263855313033148163734434525540244672356151453413275857511493618195989474025020393551102822291746,8487872,134.11744856834412
30385215455558443721811334254112450262332364347221457333553648568512759541017419404229464931131612572821203990,30234316437531855213811564692950827122042471724414451131052152719574834455414615253922402832036314935935582633,8434212,141.24416255950928
10584454734353917533033404568322494120211314381546505727511916426434256709252418225935528113123364829154523712,45245352134329571130215842141373116446551943946495014104715202285239051718382554325940562312341736332753282648,8487924,118.27113699913025
12103245563124185859495527534513343615096142521721281539822382535162073023194357294642414826114005433513444737,48185728252440325934352651522519502347275614395358121321451110434616310424117547493348620303644381595522312937,8549510,146.69477486610413
16391942561073324841636471732255854303728422523431240931292753200521511315048244212618591355464557511434383549,35616443131792454562749524842332014750018132241393645328291257381945147302325555837341051328521594640152643112,8354658,142.06815457344055
36301844471423146263941345245255416485635431922583812214207313210424005082729283515933112457173725355951513496,28487375435364411343020531822151623595584047514561932624142552293321463302124241381017945312755493411503982657,8496018,159.31946969032288
57222289161021493039321145264655531734232047405055814135638412537121915352742364481824522916543148433340735951,64553552134621122014302932495525168175819284041181352631432473751561194721038501527359570422233542348393443644,8584890,99.06186819076538
53275816333948102041255542284456303351214750409432224173218255249261131193604685114737124383454657591315232945,19312311275012302002248473643213459453724242552956332513522845449325385139404116172646710581844135571438691535,8407890,113.33284211158752
56373571144715344513826104109293622532282065121425838315917234327195755243534914485433216124044463950125305218,32984296243320261843403444552503059461036315843545032372822491156192547144123175457512712213948571615531338521,8501424,154.2742989063263
41535511632175857271320365048746839445232133535638093023121052618284359615445292455424037191425341149474122312,25113235451173715201824105652627282354221684071248415349551994333314558157385029594232301450463926214713443634,8486850,139.56688165664673
35233950581259484941423013254721555444371135128579463210313653273843452624166333456514172910720522254182181940,04539364425295034127451264222434016541111992855134623103117532014737126583347345615214957358248522430183859325,8349720,127.94284081459045
17553153814491928592045375004323244226111828394752355365640153246473657215816411331294451273330922341048125425,10523158332421136252316441715292857204027425378463018721045365512505419533944748133541344932382214395659145126,8341486,143.31791162490845
46592327305755672043512835925403458290113283752125654214944221419384142311845245147172639152533336164810501343,36212726225531475355416193418401912371133391462052490385825505324848411542351233057591074617564328442413324529,8387490,159.88378262519836
26142584417231149134037579244212516308291273104856422036275332541913856222852453918353450155131474341335505946,41426445750462801134404725303629383921154855526131017231220221431377191183324424332169565452354958595382745351,8354920,159.01476860046387
35575017144937545243655224834515319134101140318522064126385818322556123164427153123393946425904775428304321229,81922384916543122445551448793317464213518513627116592610584415023341532515322939404421574720285231370304335256,8550834,117.39362502098083
10240295516132071148592315175263019432232398358342112049255612645492741354728515745142446371842364438315350533,10234135542541751148223515401630194359283982158455632018254752264334423122741495751371424163637209383153504629,8435660,147.509907245636
26405538232249504751524621301032133132857524939425174445592712483784127115636541635191431553584363118342029042,28483841114610125394431391632542518335516582720475019373640511334432959523301514262171749523502225756424532448,8362494,151.8248007297516
21465550351044412934637225902272071791242164933432823534143313818322630525439405718245819114547513565136152548,34154801410264245340201115628957335317535593943555052211651273848364147327543037221829122558192613232449464431,8429916,162.1644549369812
31493511048136345054291712152852424047401937305716553572027322194514118365344585952825261156234643382214243933,16553623503104145575840462410144454112673925471132953259324342892135618493563851542304337122717819202215485233,8459918,131.3261456489563
46262230574019424951161832456365561591722933353138455281553950483938525474434122523432741201114104702137582413,12165624625341323431552541638148493250115118194835225753472836507314214533929104240249275841332017554430375926,8529686,137.86137294769287
44029371748521192627549492015324253904258162265144441322475045304359468315351723361013125633182138353457115528,34492944273795624434243353017181623391514584605552545195325913455748286825403620413210263375138111221502214731,8333910,155.504780292511
01140728473736191554823124294456412133022626511745191625425318582050144613273510124495734383359555234348523932,65122401729264359252532349311427165331831393024544510193814147151241932464844364202821563758345575735135052208,8471984,146.23872637748718
36435484244111573249346504123522103815265553585612219220453283029315124472059543144625543933737271819817161340,25424452472711554002321292856594954511722386953358246323187574515313613343916481930504126510431332414584371220,8505314,122.59496259689331
31403353524595061237322504653415157494427285238162629483055215494323151136120141045222581847395684131933417427,03816284145643235737353319103215330339112621341447275822173113464055825236544829515659425224492012181574449550,8456286,131.5286581516266
