initial,solution,fitness,duration
112016315413912147106581,964121151121357814101630,606336,3.4642257690429688
161061451213371511298401,169801371432151411651210,620390,4.3482136726379395
015711416612121413358910,740121135210198151461613,605694,4.97884464263916
492316512110168147101315,215126151001114713316894,598194,3.2133469581604004
141015125816719313604112,964701210831452111131615,626876,3.3316125869750977
011141689510261517341312,726951410138312141611150,628400,4.7221715450286865
941621207145815101361113,101391551614812621037114,575122,4.897517204284668
126104140115171315231698,135141112791560104116382,602308,4.788425922393799
111516462314580791210113,716103625151319140111284,600264,2.5939130783081055
213107161503121185146491,204136151171128141610395,595554,4.706526041030884
206413912713151610814115,765141815129101602131134,591432,5.431989431381226
954115141021387012163611,115121513124361401097816,624408,3.4974417686462402
016415591071113814126132,316101251361541421189170,592842,4.624091148376465
163121097145016215811413,211124903513810171516146,583728,3.9696269035339355
101661112715143124598130,015111321316126897510144,586352,3.9242029190063477
131421289151110105367416,613135161027011141248159,599660,4.17285418510437
157109162461105113381214,141311511103471606981252,599802,3.287240505218506
112101502614413931116785,511010614132711216159834,602692,3.691453456878662
541416101316150121183729,109561132121114167840153,639492,3.0374114513397217
161350612158111410291437,315160921084614115121713,610108,2.360156536102295
713110912141416610351582,414121691151015126708133,608692,2.2268381118774414
539021041312186167151114,713501668212914103111154,568252,3.3739981651306152
941221306515101481116137,934115713261412150816101,596830,4.191748142242432
893121610142110171513465,814129111602651310471315,580758,3.19293212890625
921411513121041663117508,301611612135141549101728,615314,3.6840124130249023
714311965100151842121613,071191563161412425101318,637670,5.1252360343933105
109811512116013315264714,158902113712613144165101,585306,4.564069032669067
101111516131412839026475,489111610275615310121413,613068,3.6012797355651855
281110130615341614179125,164108530126139152117141,608604,3.2006313800811768
950715161331221081611414,146105941013121581121637,584300,4.620230197906494
121680610591423715411131,912100151665142781331411,633806,6.3899407386779785
109161331112615025171448,140713101536495128121611,597808,3.9404513835906982
131271161564911105148023,491512161011780361312145,598926,3.5034847259521484
101661413415712308151129,116491310122140871315516,595920,5.826092720031738
134312141518657010112916,701841310146165113921215,605260,6.2901451587677
011514138101196412723516,135310461221581170914161,600620,3.193349599838257
121416658241107901513311,739131440121151015681216,596480,2.9781460762023926
146121191315104163810752,161537461011214901385121,604448,6.581218004226685
458615127161013931111402,155123681171013291416104,574940,4.951220750808716
151210211478063514161391,043131011581271615261491,605602,3.069304943084717
715031014819612165213114,312961451015721113841610,618632,4.173412561416626
410141279163011561215138,315610849157211161301412,622014,2.8770720958709717
530164921712146131115108,911542161503678131412101,622838,4.140643119812012
113161180415106523914127,113161180121510145293647,597200,2.9328200817108154
461389147101101221531615,161191346108147131552120,598486,3.0139000415802
311082131575101646149121,105216711912810144131536,578368,4.1211628913879395
101301118431614122915765,815341429051316111261710,593164,3.4515304565429688
101568514141612133297110,349161486051321011151127,598752,2.9212493896484375
150731146111284952161310,214154106121631871311509,606716,1.897693157196045
413910053176141112215816,213101215108657149164311,607918,1.8419091701507568
