initial,solution,fitness,duration
10937303328461438215427185534525819455615111259221753572534250241352947132614931401673244405395124488206362343,22555418213419294449414325141757512325030534613566163263604741012329582753337145244842595239383540715831112820,8450770,105.80810356140137
48595724749383425135512564114828191553212933344203931162251840451226447502354635461110271704337305851529423236,49145111102057422664618504124599535423156158362901719745391637231533474034135521352254827123844283043325242538,8444788,81.38174748420715
41507615134349048235983725553053291520242611162717222443846343921104743335958325228125454213365731455640191814,21125698232643522816385957364055151312029243241127225037513441395810044183137253549331765253144230544748194546,8393900,112.43494296073914
31352839585665114465925325718114336204812719332293424121642442321753309543474525055022374581015414954017382613,31352839372153441305651431540181247414812719582233102352363024461473469543520450551126249829573859253217164245,8434506,137.1489541530609
42802249733505832532101493551302529461145394821631342438375659552316541336191315178264047572041425243184452712,44734311163150554052293725214417423659645202415332658132230214948122819341453563893285427354123705571846395110,8454130,115.68429780006409
49482016533934724655571058921444301111831132851224714363226455459562958234001535253836525024271233194142374317,52920481939351113445254755565836174415467163135132223414596285238493795021420102123857262754331241532440304318,8492554,91.28981685638428
15547235619591032522043352411142654422958492933313965133412402841853163071821574503844644251355150272236374817,48531786241842935464044327126431516215849550283339191134222010364754522527413794542323113515756145038305592312,8539702,134.7723891735077
16152983648323134249711274023028413924581437341859472045121325919432357444035521466383321105026225617515453555,65653485123332540422116271246590371439582283054362943124219432632475710281555204550344354911181541179738341352,8356842,129.4245057106018
54514732274659554393103201056171845332964423485813485238251737502622214914403515282113430557425339413619241216,34523932274945334149125112416014204364422292326858748563831171359535455573503537282111530525401847103619424621,8374460,96.56450819969177
16051384226523123655405041544527171321484621183119565352023372810393014334447534991515832432565918227345742429,42834253625515241404813312032492423214450154726373916362583530010181914554612224593313884354115973457562751729,8550470,96.8700921535492
28222420473633162594325455726173291439031465338213418421519492751574415012301158403782335561013348654554294152,53454730491144516593437144613541513242150189283819311522035210262784823127560295736224341403517394224556253358,8531200,117.06736922264099
13523142341510464359561714264927239372358951455441574024325020601833616191130212925458735534841333828547225412,21935435223377657241733362611324030101250221581348252014914418529594427390553345428452465358385642471641195131,8448946,118.98721575737
37535546273725032161952385414231031263911456305025635475749424084348203452258154172141362844592951118243313129,41511838432853394847522156364614132949116273732302545162059314034154210057554441773535033542258812192241592623,8447844,134.59141492843628
28405752924520102614252117596747304437313984956221623323513443312291148436155804119274655335150452534238541813,82410737301944535365835147435028541383159175233922113945218323413125746161448252149152755053422656429620414023,8502172,113.23929166793823
59442541940224657263244354294832125384552271320415649505315362344235839113715121581401647717283023311855106933,26581045354849275733362424014439751219343254511331179528555011156252005616233846282143374153181330442229244759,8437932,104.46071648597717
39594549415576252930513556103226163705515431369758188274423433417124833214113505114640220353472822193814524224,18533319548411352393722302356384220105494551631948275735553422644143440585946125032477361102143281252416152917,8640608,158.3705940246582
37444516590103819152134955578519393236562535125053203423431811584629155447263274022833424117314872252130241446,34143782144321649473148545224410203319232713397302622324036175743502553460413595612514538611582928155184255591,8445332,158.39355158805847
12417763928115434048104627332537151435550832212441529403558131423126595561622183045329381951474257205349364423,40312141323927576435352736291258384230239255918455416190156284353225113155034331726461011374852445524474981420,8417420,128.65299034118652
51335358471432255342421395591019129134117228274950425963622820184341574554261235441738523723356164015310463048,19372245184334252743921551910513257246467528544928421259362472014314158163529513441726533323155634048500113038,8303762,122.31707978248596
48355611363144029172540503453235522521664330132021121937231455418497244628274510851425758411593241393833472659,28485535453964711142519381372310212918204163056523112834225826595036324025737142443270155495433346534125171944,8419718,138.17195391654968
48154252315632282001485740424919382716592939305445527913413444502621162153125524351743315132246333637585104718,53192839214859174741401437254264945384450366307221612581834351533318572756245542100315423432946133252115120925,8421030,136.10907363891602
26121441619348043371059454215129531347315515575823343217422524113623544221820895402716283845564639497305250133,33341434410233376361751259422745705252453204039593116303556141329571522462848552414541211503849858213247191826,8437658,135.246755361557
15230332039324546471121454562712659425237281751693113344351361419293841495018025121024573723853658405544352248,26291041515458522345928136273314151634612430484544324235239195723743811739310504049242118175253252047561365538,8602184,133.17222666740417
10574632115030454436262422112542196162039583904855314471333232834562959435314187358225495415413817522737125140,21436524464045205038241644391755271111219756211351059224762523832304137433181042359315333541528265572934584849,8613530,114.55120944976807
