initial,solution,fitness,duration
461523330075141039272528843404241244535213811416182949269221932312174437311483247203463613,111802739483312311634929461724214426402028437452477358301336492210152332143193865414231425,5706320,72.21860218048096
409636152717484342211145234629397373533324201034238851281442613414730120251822164419324931,194548393225379277112428030384212461291513618173426494442240361614413354783143352010213232,5618944,80.11684989929199
303328184749422114440151264810112037242622432734462383639719533216253581741431404519232913,271814391534209434083136526292410242483235130211264431711428164145234737025331346719382249,5760856,78.71422266960144
491212308291118171643386474110945123127462635523194473740484241433323634392520241513222830,184791025040364237213065312638414493243448221146202739431423351917131582122933161745284432,5678254,54.10726547241211
171619484527352812404314734460353625381810474983930333222144615312420422621114419372913232,114748143124035462922202749311043245183719917133041331625285671544262314342103242243936388,5570626,58.42587494850159
451211344143193721163917185102914266157233249470462840433181320443038133423536272448222592,234231483415222126289343925332122935434913214203840645113717414724301027441380361646187519,5645794,69.52342963218689
133511292748921420141981344546233031203832161225412640226361833715284753344471749391043242,182936238330411239334771027482491651438314326151354042451322254911324423744619172862103420,5729026,84.92909717559814
174372822263313213145272403439182391231511354147443642108163230629482538414046192493751420,837221723271615202621313612453439322443126140283835184149405134293046473111948725103329444,5617012,70.22453689575195
391437182413236402926212341248462283230493441145332510735644927434738311611170203281942155,153327494843640144741816451991229344439222632511211810422013023174328243846353762325137031,5618566,83.79908561706543
481926142944271345342243725283741183191542321334651610440282347353213611300246203817391249,383240151746471824454857302916414243113393739102634273514121625361244449313282202311982320,5601586,78.28201007843018
212112384361042172744549202446716302811392622133501418329948434019625154132313782345334734,253516392631745640832124134473621711543023519442711292421938223337201018284213144849463430,5644802,99.76034116744995
192418410264972043342837114842324023159252235475182738443114361323346292161216410301745393,274210151724034233137251848123936244147133574328116389614118190222143033464426452932520493,5660368,81.09487414360046
294428342231449351316454037308313841174620393448011618192127472242232337152654104312362519,111802430132620274149463819128473436331372931482114234022423551637453217252824364443915910,5614864,71.50918936729431
111744354530393347322713461224164354342218122200723119636283794014253449234118382648102915,641212134532653642302135911532493383817102331019167404628141811392044242937223425434727448,5655360,86.4358766078949
