initial,solution,fitness,duration
166352962274177405215697033114345332561079460305123214861686743114433752024957139127174663784266223702628542517363855824584719501813766473654557259749,536354250384114103367216919543071521395956312979875115822247855684540157047344321243667365272648047637727477174613617392857516518496264166020632342523,15464940,247.9999885559082
632468306016775221326365879835503240251261628743741870421167120106553474875938556643373523717619313427644417465421702951561478493915223359724541576269,222557492742626610482379705535411756431727328587657516115920125038544078712644362961531568306313733191856137721326752473948513439243466602476456914740,15513898,228.20355010032654
368794697436317425312453339221570543766646136261875234047272964644514910605576231193250652856167741114858297859386774713424763555522173140721381252030,543148147069242374393045672265743029375136977262755174227462038571162496818645971664460321067319334155285352631256613724711540793587850763458416212513,15568244,281.70857667922974
528301558471221166431577050352440513466428391827765420773332145521134853236272343860445229786961597465297376841196673717025756371424556361026164931479,456435405537395617495378722131819603613520421425542674662201133634615157697101624714123503034385987751737570766562526826132929674344123179484727286458,15423010,249.77678561210632
423132727175921525617224331360411201578275165662928101173796881861574314654704836446940207653353722452541639346462144726775036774493855863673059192355,572933712074452636544245458603715133164302617784528100677968818695743146407048751121251376533573222955216242383216144761775036727344939656415966192325,15508116,219.1032679080963
136328357164246554382355237936390413346695750756161873276029112175842765932217984068553257767475670113611531666249203034225148105247261444744578194372,134928353119366554381255915472429441523695750606162233397527327617116344597121798406873786477671527058361372666242203034185148105626701446744553254372,15536360,232.43636441230774
394371421181964204828101370613137631762544560267818595829211467243223365166471573334227562590525372123865417479685516507340274946777635754615330269544,602482950262215541633310713539326249363865126372185145937142579244334667084558416235674642113194053117146476876786167304275281769531527795505727204473,15611650,251.7000253200531
576724794034584275126621352848657010381544375151622723931746132689477784520145249466322964841619172550605473535523762747376218115636430305971332613169,786714740242710366326163572176638774243005651582015754814321931459285434594152611818577439497612696855507960616576413374452123704635343622571229332273,15477318,271.296049118042
287815199707488496746432933614463775245135854532211344162436125566250421463837107656321447653527302672794318575159626741602021407139686973317525235170,346415429322262460227177054782561741639594075231363251664584748725767373512714446850650774379764129113635873182011756914555534956383062331921102362846,15495740,251.52086734771729
516217365856147131023274828381186649532263221941215747726360216743359432012506147749107339553075354644454240796537672568521534296913767818547066715324,322528744659692170456355560641826346647437332671351253512765524562416015496114223910748368133311315457762342241205072676829587940377817753038449197716,15492362,245.9752230644226
287078511646523547425272957335393271175568450263095013367443731875867407710214792313744343169246495365155463124238616662115934156606448228762072197521,442333053575032732417677821127722356374427643293348516128165964663755206952771491410838184602554047722451554701958756217960464156683613312639651192734,15510276,276.1653275489807
152797764344367141667723494061321422590308353855646233136312667691258735354227707468105634629165175724726578453448376019424116339928512021257515185047,695460555051441352795876634516120673847271459484337295742643350956416665613910773626815126831117246622830742175727018341932423257140787353224917352346,15476204,240.77762579917908
245035666771171664457630313879577578515581997234701415332414622032372854104017686265361674948171125227185963602653391321294743366974587354242556204423,154335321677417517304431057667226761848252374553397079517482314331264955526259246847978206738277404521695465601911113343128640733663614642227156585029,15610468,239.73672676086426
