initial,solution,fitness,duration
81516112322174101925072092721426512181362928212413,11231394281222571517619252726211018032201161482429,2064958,9.626944541931152
19182610845152714911220167012923283211222136252417,15122532110262414622288231120291202751991371816174,2067430,24.89940619468689
10201948223291361614122628251517222151132717024918,97231183131625282946122711261719105821422200152421,2030392,26.094181776046753
21162513262072624940291251714101828118322272319115,53102523618154212916014131112012268172229197282427,2054560,18.833218812942505
20107162811102519231422154532161729262121318924827,81721318111401310923126297512284156192222720242516,2019614,11.855995655059814
61312255221128192601234721162982017292724151018314,18231325248162821115122961023926172714720152210419,2019388,26.818010568618774
27262502718143298423201012821121615613179241119225,19161581525177913212722102428112912242320618261430,2069606,24.072205305099487
23111725092810718212214268229611512192013271643524,98295141626191310212012237122182252411172702843615,2055838,19.741060256958008
12152014271014262250713112922623211624539178192818,16192610417142472123322185252715213122011098296128,2050374,18.477975130081177
26251822211411162827789223101451519132012317024629,15162112112662975231825917219100142413202827814322,2051180,35.7988543510437
17102061922117809152527351613182124426229231281214,14110202829272322215181419123246131772162625891015,2107126,27.06290054321289
22423122010261721115271811162897514132403622925819,23081112472918122962025161726132127228351015192414,2051378,32.03337574005127
26323282920102251217244271921152141316791801161825,21813252816122491126310426201923291451715727221018,2040216,13.852164506912231
21671326015232929428118251617193242785141220221011,15143224261329181231921172722200126102591684752811,2075080,32.683560848236084
12016262112824182722175109281913437625291411231520,52811271819261068115210217122394223720291314252416,2072302,35.98645877838135
91178041928151314726122116241110183205272325222926,23921165142722251620131731882171028154121929242601,2035224,17.680978059768677
87191420275266241721218321292215102523131128901614,10020271235192241726291281521692381425217186111324,2038890,19.214215993881226
18291417131672212582721942011261910152283120232465,10827028156292531417182623113212412245221916920117,2082254,34.25096392631531
52414112531312120172927262016102322184615921281978,16917182502423105231128298142211915266202713211247,2122836,31.03220248222351
21020161022417281926251822181415271329119235712463,01131618122235296272428174714201391921021251226815,2050748,24.918081045150757
29171471271526222490284118186233131952516212201012,18277282220529121612120141923610891317253424261511,2073962,21.87927794456482
10481281932123151714601322251122418122029271652679,12130524282012151911722182627142917896211016253423,2007116,27.423570156097412
32527901057161721186241413231582622122191114292028,15924127819118236171320241027291125220215163142826,2045176,26.901556491851807
18713271028362321921201781951512251601411262429224,18202227415752431291762911232131926281614108012521,2024148,26.83783483505249
20628231625181481121222427192619054132101715732912,22125814252611181924292313227169163152102820710417,2058692,30.312873363494873
22628202992823133141018524271671126211710191525412,10132425231152162091428191622177226110542732912818,2052010,32.47361946105957
71611255174138123192814186292402126272031022122915,51010322242091572728291261326241923161781425112118,2064734,32.17232155799866
10181912628412862920162215135142427251170217923213,19920183629241513718526282711232110252161412172240,2018364,25.78171730041504
21121741495201060182771613223241582825261291122319,28122210152182141951617181323272092446260111372529,2058760,26.210335969924927
28639191111013261525278122421237291751624202214180,92252713214371181468125202617111928152310029242216,2016242,34.0519597530365
91423511282922520151101671817191283642726241302221,23191029138027412269212242811571615251832014172216,2008752,34.24379301071167
61324171427298237221112620192215181225101659284013,47146182527132611102920285192217801924211623122315,2020732,22.39227819442749
16191817138741015125282226231112142275212406329920,01353201748610112812222191591421252616272418172923,2039790,25.70439338684082
16814262102219272591228315181329247211120104175236,18191252901525114282216139242068323171426272112107,2014020,24.35915517807007
01312962322328192151716842124525261412181071127920,11182905142317432819132720616215872522261024211912,2047614,28.422587871551514
91222862081016501712262124132272942319111531825147,17191541432122291226117225924202818278161312310065,2028574,27.090457677841187
22241516211710862628429149181219251317527202023113,13102462172852229927191511211263162008254121871423,2069792,24.18599247932434
71431610619218112812262420951301522251723211829274,26142717121824224328137192291025911212015102316586,2036318,28.14834713935852
19122286255242032927161571226098142311181041321721,41672611298223121593101820281701215619241327142225,2039214,24.493571281433105
13727121082614201136211251718429223160924195282215,26916532418251112281904232022917101141521627137228,2064156,22.46334433555603
14910233124196225428272280182913517207151221112616,22252717942126122819181530246231158131102027162914,2029464,26.10988140106201
29287151332112117518081272022162412261923146251094,15222812182957164112519141240211310178263927262023,1995644,21.136064529418945
71119108262229131405271794206242116151232318212528,24912222829281825171026712115111623520190627314134,2006558,23.20040774345398
18323428261262122271520241929107925171151308162114,21250417291315328276197123119222016852414101826122,2013580,21.223273992538452
27152116111998261862910414282220251231703122713245,82212618112562051428159191004121372117323162242927,2025930,17.407102346420288
15172327320425269211618111210192141629828724522130,23202914342827191301017822269111521181226525161724,2070022,16.68978500366211
29413241216101123181408281713252620225152776921192,29277161720214192226182891214111516235101380252324,2096642,12.112348556518555
81836102717282120131524267162214192329201241119255,26201282924132522271421260121659831511171819231047,2001504,12.477331399917603
82820182142625241407196112222329916131227151713105,16025622324272623212813151219179741814112912810520,2041962,12.46942687034607
20229172224238191601153121125628413710275181492621,76419135231817211216126102228825215932427292014011,2097956,11.432862997055054
