initial,solution,fitness,duration
124272644619624972385411436822203234741657317753376936296132451366561775442170394265601014715417397163265823630524048287918590553551782575076148674533,136968404157234761534423629422752546321147566787779188193150336574547328491177624702543725834162015563860719553213764535677140262230126264516339591048,15131962,290.12922859191895
234135583638272177955716722701454824665444912397576307868376924576442175563154353284729165232103467212573741377502033459184031116360459481906166625126,712186516665681077784629177414354761372633835423419374462412453101520565949575364223655251423276950967648111875403341305851243794772826322396152607073,15033572,235.1630859375
615502027547233123627681287954048642117115618673226145260765710139514935424246537627230695819593177417055717866452534168754536344223339382961744643730,147473812163345218702872636175705346275169356162910437154246839794166474455637492311345163402167551948646137242203122602977585965276383025325034751578,15189318,236.6455533504486
392138222646726453552043827307127177652367366918253445573911371574194946217506654147033314724207544421659540162963566013487951102835783273587652614168,513626646477229612042345585679116968152433017565632821735539673129122737407464335983841042314785732495366107054196250602416443571577187675252271341348,15174380,266.46892952919006
182727511152485951147763445435468291638493261311453557060361940136755033693744772527463610563004176312397471667317572142782079239266428524835582265624,124443918717447591569235850281632261724835664266651977735494143242161578786831553837201060722725515349406334113575621470300673322136452453679294615776,15057308,257.00740337371826
455466278635753895743170027747252423697381161314258153960203271281026191364172225952452934348675076544116443056181447773679371221655149766405325683363,657404373522670373841216178327766144753304522397906367818941205922549463472156875435624413582965693616235753328766442566051712131910482774245531175011,15068534,190.01544833183289
124425496443627857322317653230675059522276486972544062729014686158134611835314542332487573637797010193828635366341717457491126511521551639477720605634,274310405460521267867335821369124596846481911254523356202861776413563249035771793839516641507622722443755734787529155374633431244275651418623016177069,15147980,276.6391122341156
773148649032282118275354563439575666042677447494513413726615062913652415687358407843232513833257041757145219126930167633585562107976221172594420713646,172531605662635536654277643165292281330571974247957123412334077347350533551266939206861966464438707276747643731181058781122145496048417514521559423228,15167684,307.14931178092957
786449237018171271644213929635661046416553584386524260273768204557593532755450262528437371196610765134116715482462135309408772272133741455476979313632,373153634942441060362718233373404765438548624574246950253247415161147122580175513259296466157516525665219111433577012303439657267746197268672038287978,15278746,288.4256172180176
553924605949283320657132291619182253244027744647762677511465272141105834348571737678366962613844791550633521701345435411795755664732342068317825306612,453143276030355447634825751739203835851401237281170247459163368771549447132611523779138344142929036195726674462265215678147365064185325566761069625272,15131810,259.29143714904785
437360424311707774586930493648531341406663261547545336519106246310502822567521851521438391681672176145592435372712256778297634771794468215723552064329,256628224041303673442345706921527138574650336410347512668654913775855243929537821511373159351560167427127654386217326143671456759201847481906347942726,15193220,268.76076674461365
581275454010326649702141562254364694234728186721513711311773916978601719232435357056205026535381348544144593373655742927476379732847130466152676226865,616218703277752748727669864467141171956517965742137473960343663206812305815264550432342352914661355495378612540385211163571024794250222854593173446733,15276382,289.24917101860046
774764416746603018174036514515272010165814653542414433732266522327076745943552119573750624871123346113802949755672133926537825961312855479634269732868,666325654740145310156426432701151497634352221411874977565459602379451639726936625737338121983228554312950581752207274671683767486506124337830421754413,15194658,287.93375992774963
525748687660212495647347478186719115522256276387126464423635722501551431332938362667012655437750731669321339754510612053591479311730282364494458404177,660542146715218134427951697030267216287557358191226236033643653679102041772415376834584555361124432315950171447627874492767338634829276539435564025711,15285462,248.2000870704651
615851754136129185024371262671756113134657764552879435432195469639721782723492060351548137416370557114685944304247664039077283822105325466564226337372,207930511886873131615677547012625621112807612386971064726034634224135363948496378423397131404317595714543247271929445253662561235855457524655037267467,15066454,248.6878843307495
239431410594168637318856255294628387613195277062205744722215427121723667079743465865365330697140513475016242161731455475264911351326760644833423755789,242845951703076136918267762753575758665210414947503264422056238593125404316367917241382968055214631573567163726714333437746553391144781227224819546160,15138642,289.1043047904968
104119357963407177283653602813161775700626921291411627154856554637724974316751766544442393735947643812534223066522078496854725322318434557506158331226,625514430224073386239117646127823361193645285065743359860272155314163699160645771547795275134732421067723524147058291184337261734666820271535449485756,15140768,300.69422936439514
746736172177266577611262250137812561632634552452345129537349546447372065540068723885914617941453332523439754274835586269311510712860702719303918146644,237494329255558345318447578672440342220132605126693528645668323919331510725230447764694161411713873312748112455661721874706537546162635750597920163677,15194320,283.3238217830658
214641767433591658471626118945234914635743772250556515312647230327817383461060274055621973697104223965255266470684828207137543351836156779247513443129,654910342527776912711742623003276799786132616594815405038377546703623732418216742917314556541172415760195276458422851634313333986445356866553547142022,15240994,251.44363951683044
132184163663864272267742376571252739731422365615543678075312047486159686278743433607291012135811517640524316694457446531917956304970552879352145242350,567197438295863532636512524816117244957351352608757714177131104412456681433456183970652132412246546405073307943778287240559361766266153347592069422327,15257524,288.98058819770813
553817501027574973631242334506876664324675171162047418405225364211653528367419326134147813562211376939758537729485879726731306226259602315595446444170,110711624385337796663763122154745526564511850754670133071410255877735927283367265157173635685649552369939203829484278722119462743243244660345441124061,15225564,292.7422432899475
534060293967723121123620434566701476326352414823778793536110558750267251913501538422451557116627689733034284617656247595715677221886911423495474644433,437029466266473317764715394942585406857403695911479641182724742613106567183433231922755151732635635712603761219453028534448616773672125550522025783841,15295072,249.39071941375732
162452155973613176205813397815723344325354143649387926674817231456210711966605269771243292524741514640356634425028753734370030641156275968187822576574,227395729506170241851120424158794427672287601419696671386040466263610395535343483433644954637578765741730563215311134523215125126285243547165968377772,15336862,251.7015359401703
435927716066407356634520165339783074776417142319573121224373422475265613828335625155412114441181350769704602677251751494229107983255458626836486935673,123750193891685278392511626421365873576934516423462872214970162610374075412259515233602427316167557701847763017357453326344793648294543565854466711420,15099370,275.6845347881317
635214345737321416182566606476297847549365651191748136286524123339234132026676931443068382250107274958524274461571551173579230617528595340277770456341,611712620495228621451177566321031691333273873775736140682312445434842707846194116762579743674822743635219394511530185626447296054655803772552463535950,15177158,286.8040599822998
333117149212736756474247062607732593712107135196625684118342057737872225242486333876546128586654544464711304953297238671615404155556692043265079135139,351103732783573410676024551263446821464072271497965133925302259234870315261697718644375585747353204941256167651143347815173826286662544229197175045366,15258564,269.9967722892761
165314237484397756663829177130585557345654627216024394444919476264150786131127010683726697276251357975324834211347403654501572233416763522818256135920,776943582785331375744547942725945665197118851501644630732648293433811936101555252413167674686122416332283960142712356663340201770754970552216745472362,15183836,265.2934684753418
612024653575316832275849635427876794139280345342616126452255723774667621855444971221329567011105072407191547186960535143745414259481766363037627313833,156567765541623146156384834177737812203225136072406857969523558287045414247592643443307410572919243936697177866500112733493163217318512254624664217553,15229782,288.4939703941345
384428468841294577177835615667473767513536276442702639667140747357113379225930236960019165634854624951206525494637153455505243121814107223258211313627,216129104532133002878241915755396974583856269645059226266127114601687541514321625768427184031777349176570442035545747634836527223634793353534642116737,15088840,289.32946944236755
343956615327933246273442442921087841251804854455769261722353012506531175723846647447132815797776715921513173216362343146755526170375682040496663586019,546551817713234833622628364435715637206337749471570465916223855106657737462412276039301721461697524325115400964455841795242431673476321968185053782921,15086318,258.25795912742615
672634528356962195037285449154821715745751864723133305856682224463259386411917079364230261734361106655512043312941764044257312146575327776016578723974,787463507612136070563512116666438597118175825355752674461331477154972475253431547868313441209364879296230282742547219632402310694502673391122374655546,15234814,259.32147002220154
