initial,solution,fitness,duration
21214111057139643108,14851242713613111090,477652,2.2400684356689453
74135911014312268110,30121351481174110629,472148,3.7031586170196533
17110614384102513912,11274603141912510138,471358,3.0658376216888428
91412762510081113134,81291310142364701151,455534,5.386211633682251
10139501176321248141,10511102968341312714,471714,3.326545238494873
85212310901114674131,14111215327013946810,472314,3.391916513442993
75112310961314112048,10236859710124131411,483558,3.137190580368042
11311759601421210843,14131311051089647122,489980,6.557971239089966
24612111310814079351,14130135461297210118,467276,4.700011730194092
34756081211910131142,11613011483247591012,440970,3.1631221771240234
41851112142103136709,14122136857019311410,477838,6.461921215057373
51321497116410180312,10149136714122531180,474276,4.184290647506714
65110101373812144219,13285161410114703912,474168,4.746970176696777
89141106317132105412,10381161250121471349,452510,3.2248289585113525
67138091421104125113,61172510981314012143,468456,4.07539176940918
13258094116123141071,51013630811911271424,457936,5.063080310821533
11612139054114837210,11612139054114837210,477842,3.2340660095214844
41011614831317529120,95210107118413612143,470674,3.502795934677124
01412138321104769115,96485211127014101133,471762,3.1168789863586426
46211121014510137893,21013014311294756811,487810,3.803764820098877
91225103111876413014,94512141013721308116,470210,2.7681655883789062
11276081411133249105,06149513341171821012,446462,2.809597969055176
29411183121005136714,11014728936012541113,473266,2.7129452228546143
91040513118276121314,81495312074211161310,486232,4.359652280807495
41285143139011671012,31397251140481261110,467290,2.8038527965545654
39710121380141114265,75291121110381440613,477270,3.655099630355835
10761308112914411235,86971031121445111302,467858,5.030370473861694
12031092116135148147,04921314675121081113,481024,2.7569594383239746
71414122510138630911,31411942710815121306,475260,2.884053945541382
14102890413376121115,11413107950121423816,450008,2.5486974716186523
79612114110510321348,95131041214786110312,483768,3.43375301361084
03613941218111071425,10011176128921335414,479500,3.1553900241851807
10611147029841313512,48321117614121309510,473132,2.611834764480591
11112392010613584147,11102786101334149125,465962,2.5791144371032715
20104135116813127149,21298114714016531310,478988,2.6331229209899902
31301071211149184562,14082310657941311112,469396,2.951645612716675
51461210289031713114,78091032511121613144,461226,2.5300631523132324
71431310614011212895,41138122036107141159,477946,2.1194093227386475
31410018759611121324,39713516140812241110,455888,3.1254189014434814
72100115128934611413,12108613141307542119,451204,3.6071853637695312
91110812137410142365,10117130814523121469,491140,4.554538726806641
51201114684912137103,13151424711801291036,455792,2.8354344367980957
10135321804712111469,13140119211284561037,484300,3.1287665367126465
14213830671191451210,86931413122071411510,459872,3.0119876861572266
50361110139287412141,95121028011147141363,470036,3.741771936416626
75931148121621001314,41110121461298075313,485116,3.5948548316955566
13931127614141012580,41312146705910113812,454490,3.1480002403259277
16100911712385414132,13143126810491072115,470266,2.869380474090576
41214510931186713120,13110409231114587126,464408,2.795921564102173
21091311151240814367,91204111314651738102,478326,2.3045942783355713
