initial,solution,fitness,duration
1942023181517213227139251816110246141210,1912202341582232192713518171611062414110,1334032,35.052313566207886
3161421102419177822201218115139411562320,3514110151917111872012822913234162462120,1339754,40.915322065353394
6221273192317582024113041618211415101129,1541415897220236201812111622124191013173,1308270,44.75229334831238
1610315092314619211252213111208217424718,1593221224416218614513191011202172310718,1351940,41.27628993988037
2261772018169105082411233241911221131415,1420789101512322214611052419231621131718,1319274,42.67628717422485
2301241316241261119814182220715109173521,3042913182481011232015121417221662151917,1304604,43.908257484436035
1651118417212241571461220191332382211090,0162071011323171561421134199242852211812,1318862,37.84428834915161
1513172412562214231810212208310194791116,2413151125422112318100211620836197291714,1331122,55.681655168533325
1113201710156161823731519122292101428244,1113781018615392012151716222324014219214,1297168,40.91424322128296
6191302414151721158167181321201292223104,2713182401517610231419162112820139225114,1357696,50.02424192428589
1720210181722101213323414821956111692415,1651421018171812132331124192072264159102,1352510,47.11625623703003
1737110231310189862212215201621424191541,2012144171811316022211248105621192337915,1335016,51.595295906066895
0244226171216141851131992182313122071015,1710511601416211134223159212231982072418,1318162,52.690250873565674
1542352217241110191221716236209814131018,1971423921222482013154206161817135101211,1318186,54.513893127441406
1602451518413172220107681921114211312239,6024102152271731221392084181116151423191,1321692,55.924845457077026
2291131024181712140272341621208155191613,2291101024131719181271638623205154122114,1315776,48.27329421043396
1419211872065102111513222401291843172316,7191621170513211681202212492418142315103,1297332,48.302295446395874
0153420910513819187211231722122416121614,1421241849020138191123271173101615522612,1305904,51.55529451370239
1156472411022112221851023163919201417138,1111213493014224517181023162215192062187,1315054,53.2296347618103
2251523120248131116147122061719410182193,4912231121024013117147152063192216821518,1324406,55.079673528671265
9247317602218192121611214231113101558204,0611141024221920181221913753161215423817,1306654,50.213069438934326
2051423101211838121622941521117131924670,2331321419171118724916510151648122122200,1344516,49.84104084968567
1924169316101411227823135172012215180421,2241691112351462022031082113419171812715,1326668,58.172590255737305
1017212422121914861320195271811161523034,1017152412682019220249135718111621231431,1343508,55.90160417556763
6031211241015229132325187184192014211716,1014312222241571617523111218180920131964,1273098,47.33400058746338
2319142202117132412850647183101516119221,2211517142312198190131020431124227561816,1315252,50.61537146568298
2221125244897171131323019151861411620210,4922231711246110714019218513203162121518,1343186,53.820345401763916
1148192212524212369714103151318200121716,2341519247201112269814310121318210521716,1318650,53.31637191772461
5893019231221371101511424211762216201814,1684319021181713712422119102236151420125,1313994,51.66815423965454
2121819211222479144056102320113171681315,2121820211349724310581023151114171662219,1338638,49.131110429763794
2118672212316012111752142441320101589193,1320621723118173501429244111210228191615,1311120,55.89719820022583
2261081523316218752419219011141220131174,3109137151211162416019228231821205141724,1282928,54.53511619567871
9231619181221417136201551082172211410243,1821267193101712162281552349201314024111,1280500,49.293086767196655
9119111022161814421553012202486231317721,2112011171512241318225161409310231968742,1293702,50.02710843086243
1021523168011191271531171420132184229624,1013143162101117235249719151202842218612,1350632,51.62511229515076
3914181911023132220241712167045212156118,1923142220817524131015181126240911167321,1372786,50.303086042404175
1439723114515612162017019211022281324181,1493222311201976178421624211801211351015,1320026,48.54810881614685
1923101724151320801412117518212221643619,3202310224701215911198451821117132214616,1357182,48.169068813323975
1219311168220547061922101217181324231415,1219311161222317470619221085181324201415,1360966,49.960198402404785
4122022107131992481718112251014153612316,2135119202367341524162118102291701112148,1348116,49.815152168273926
4195181116013179142413201523211262227810,7204141302112622231615819532411182911710,1312900,47.77610158920288
1541601107524141223172018611922219218133,3171901411521518101620241222146972181323,1323152,45.74201703071594
1420232192413509810182212137154211711166,5823241918139102150147413122217212011166,1353782,48.45910024642944
1141507819172413229321620641221112351018,1014156701751222816211132423112019432918,1333182,47.01310062408447
1014161218131537232411228171919620204215,1114122010151971861422892425161713230213,1324300,44.98906087875366
1265179141119022147158231021613183242120,1901819145812131127222023102436415172116,1337678,44.703081130981445
1315243202261981810211295216171441711023,9721222018233176191201016512144824111513,1314942,46.48416829109192
4718121781992111425221136130101520162423,4711416819912102402113113620185221521723,1308488,45.71097922325134
1482510170181231562116122420422139117193,9231222211241515210710201431681817136194,1311292,43.10989594459534
1916016202213717241223119841021145182315,2012016231713315241691119847185142121022,1345820,44.10572552680969
