initial,solution,fitness,duration
37484218454405144629711539233238156582084959262401741301628352524132147950525755151012435336343311419336225427,37484218454403043462971126395532383156582084933272401741511628352524132147950157231510124533634352141959622545,8320902,357.96965169906616
19143723427403648111745295041152814784902044432124123953305842525224625591654333457262321363935185156551031738,19503710430523648115945291441232814784902044433924533112275842405224625181654333457262551363935175156321521738,8226548,375.31960940361023
50125299324941135910382339243027442720555852633432234214421956452540154315746141117280471836263738481651533515,48385332372843253694649591022453022155203413183411173542958524137123420616575019562718473312541539441440512652,7995988,365.42161870002747
35564338465442371826554557213927201732165931154833192850472235301311534492413425395241405129122273658441014608,40475121102312463426505660221165854729313252333020551523643115335241891327444171445414232859393857192584854937,8036244,334.26945996284485
20342704853572135412736643132473854564052819916442823391345515055424265243133141859492915113035837121017222546,20127056242157164127313223423471542485019859534644283239134541755305126403612581454293752911103543493865182533,7995708,358.8906934261322
16037392153425123121402928955223218103519264913143856455442515443244175263323443483618275946505820174711305357,16058819142425123121429289554632181035492642131538564554751541334274839633234043236152445922503757174711305320,8265180,367.3176555633545
59648942034581115755217311450275518124333254413382135412930324540283615240161072351237223424946563947192685354,54554823302014175111575265831345027418124333524413282135412963245403836152401610791923722342494656394712585359,8290764,364.77761673927307
32235221393025275149261911738401611356518424345285853145529813487371025034575412204746436591595633032241312444,32213723395225305149261945173840511356161842431358531455485913297271025034575412204746428310956331536412282444,8119690,344.3384621143341
43155347465512593518145894232112584834284474041013649320410263339505129272336565415243137522213857301916221745,43353501237495935204426111932542184816561773141013646581811028333952512927540153442324365547214385730429222545,8247470,351.84961128234863
54353752732484831255462314305856185343292015303312115119255024957265242594945104121472813444739381617362261340,57335412794858802234655430452817535229561551313337421247251024325592111183826504013142013444739221619364364954,8159992,367.69464802742004
14584103337544044551143221957235910497241518385635315347926422030512829343261455391621123248504521317274636825,14584459335332403655114322194628010497241518545635313747924142133085513432614523394821523816274122017505762925,8128514,365.98269271850586
24322943516712532149584191485528180313624738159482333111344427545150359565726464245105217402022253564139373013,16814229547375321385241749325539180363043474215194823401113456315145362444574650599282625333522105124158272013,8012770,338.78747606277466
54574148221950433123753174921343018359404514421284727691129255263936164656374424420381015335250355852133285112,18274948227553314419463320543442161032339144152847136261152255945362151563730244012383511750250595829433285741,8160672,362.07669258117676
